iter	Passed	Remaining
0	18	3626
1	34	3371
2	49	3217
3	64	3173
4	80	3127
5	95	3072
6	109	3028
7	125	3000
8	141	2992
9	156	2976
10	172	2960
11	187	2941
12	201	2892
13	215	2865
14	230	2842
15	246	2839
16	264	2848
17	279	2824
18	294	2807
19	309	2787
20	324	2769
21	339	2749
22	355	2732
23	369	2711
24	382	2678
25	398	2664
26	423	2710
27	438	2694
28	453	2674
29	468	2653
30	481	2625
31	495	2602
32	510	2585
33	525	2564
34	540	2548
35	555	2528
36	570	2514
37	585	2497
38	600	2478
39	613	2453
40	628	2435
41	642	2416
42	658	2402
43	671	2381
44	685	2361
45	700	2345
46	712	2319
47	727	2304
48	745	2296
49	759	2278
50	774	2263
51	790	2249
52	805	2233
53	819	2215
54	840	2216
55	854	2196
56	868	2179
57	883	2162
58	897	2145
59	910	2124
60	925	2107
61	939	2090
62	953	2074
63	968	2057
64	983	2042
65	1007	2044
66	1021	2028
67	1039	2017
68	1053	2000
69	1068	1984
70	1083	1968
71	1098	1952
72	1113	1937
73	1125	1916
74	1139	1898
75	1152	1881
76	1166	1863
77	1181	1848
78	1195	1831
79	1212	1818
80	1240	1823
81	1279	1841
82	1323	1865
83	1355	1872
84	1385	1874
85	1418	1880
86	1454	1888
87	1487	1892
88	1522	1899
89	1539	1882
90	1555	1863
91	1570	1843
92	1585	1824
93	1600	1804
94	1613	1783
95	1630	1766
96	1645	1747
97	1661	1729
98	1676	1710
99	1688	1688
100	1703	1669
101	1718	1651
102	1733	1632
103	1761	1625
104	1776	1607
105	1792	1589
106	1806	1570
107	1820	1550
108	1835	1532
109	1857	1519
110	1870	1499
111	1884	1480
112	1898	1461
113	1914	1444
114	1932	1428
115	1945	1409
116	1959	1390
117	1974	1372
118	1989	1354
119	2001	1334
120	2015	1315
121	2029	1297
122	2043	1279
123	2059	1262
124	2075	1245
125	2089	1226
126	2104	1209
127	2117	1191
128	2131	1173
129	2145	1155
130	2159	1137
131	2172	1119
132	2187	1101
133	2199	1083
134	2213	1065
135	2227	1048
136	2241	1030
137	2255	1013
138	2268	995
139	2281	977
140	2295	960
141	2310	943
142	2324	926
143	2338	909
144	2353	892
145	2367	875
146	2380	858
147	2396	841
148	2408	824
149	2423	807
150	2438	791
151	2453	774
152	2468	758
153	2483	741
154	2495	724
155	2510	708
156	2525	691
157	2539	675
158	2553	658
159	2567	641
160	2580	625
161	2595	608
162	2609	592
163	2623	575
164	2637	559
165	2653	543
166	2668	527
167	2683	511
168	2698	494
169	2711	478
170	2725	462
171	2740	446
172	2754	429
173	2769	413
174	2783	397
175	2797	381
176	2809	365
177	2823	348
178	2837	332
179	2853	317
180	2867	301
181	2882	285
182	2895	269
183	2907	252
184	2921	236
185	2936	221
186	2951	205
187	2966	189
188	2981	173
189	2996	157
190	3011	141
191	3023	125
192	3037	110
193	3052	94
194	3067	78
195	3081	62
196	3096	47
197	3111	31
198	3123	15
199	3137	0
